,egg_id,nest,nest_id,year,mean_red_spot,mean_red_shell,mean_blue_spot,mean_blue_shell,mean_green_spot,mean_green_shell,spotiness,H_shell,S_shell,V_shell,H_spot,S_spot,V_spot
146,252_1,252,252_2018,2018,80.53,146.113,58.295,82.664,73.35,131.245,0.25727473,0.127580778,0.434113938,0.738735414,0.112847882,0.276250034,0.786041972
147,252_2,252,252_2018,2018,75.69,149.681,53.56,89.272,67.96,139.669,0.18705795,0.139037987,0.403677677,0.756774931,0.108555217,0.29177754,0.738799414
148,254_1,254,254_2018,2018,81.35,135.682,63.125,81.684,76.495,124.67,0.310867324,0.132675182,0.398081173,0.685997129,0.122162555,0.223860118,0.794045877
149,254_o2,254,254_2018,2018,77,144.69,62.42,95.037,73.42,140.13,0.262594532,0.151358252,0.343167437,0.731540842,0.125744828,0.189399889,0.75158614
150,254_o3,254,254_2018,2018,79.61,147.991,57.43,83.461,69.975,130.262,0.267558995,0.120888407,0.436003098,0.748230429,0.094255459,0.278593408,0.777061982
151,259_1,259,259_2018,2018,71.395,164.612,54.72,102.763,64.61,152.66,0.196626995,0.134429647,0.375713192,0.83226485,0.098759829,0.233535177,0.696876526
152,259_2,259,259_2018,2018,72.36,153.841,54.425,84.647,64.66,133.815,0.326805614,0.118484428,0.450142651,0.777807552,0.095097096,0.248151862,0.706295754
153,264_o1,264,264_2018,2018,76.115,124.456,53.065,70.095,69.73,113.796,0.503528594,0.133979024,0.436780851,0.629239388,0.120493254,0.302770757,0.74294778
154,264_o2,264,264_2018,2018,79.595,127.22,56.69,74.508,73.775,116.836,0.503272488,0.133815364,0.414030864,0.643213947,0.124299992,0.287655919,0.776915569
155,268_1,268,268_2018,2018,80.175,140.736,53.78,74.223,69.53,121.852,0.367884542,0.119350484,0.472588827,0.71154974,0.099416965,0.329004299,0.782576867
156,268_2,268,268_2018,2018,78.81,169.559,53.14,115.275,67.015,160.771,0.196951586,0.139713132,0.32021193,0.857276478,0.089984071,0.325651013,0.769253294
157,272_1,272,272_2018,2018,86.265,151.651,63.42,91.511,77.45,136.954,0.173649579,0.125931635,0.396529699,0.76673509,0.102490488,0.264881977,0.842020498
158,272_2,272,272_2018,2018,69.47,156.272,51.93,96.12,61.745,144.417,0.230307171,0.133819346,0.384929186,0.79009849,0.09308424,0.251838768,0.678086872
159,274_1,274,274_2018,2018,88.945,163.304,61.555,105.135,79.78,154.677,0.153503227,0.141964002,0.356198298,0.825651708,0.110907234,0.307982798,0.8681796
160,274_2,274,274_2018,2018,74.3,148.837,52.355,81.643,64.655,130.269,0.286768195,0.120592724,0.451426279,0.752507736,0.093457143,0.295302084,0.725231821
161,276_1,276,276_2018,2018,86.52,155.038,52.15,85.695,71.64,138.846,0.185717591,0.127717732,0.447288944,0.783859486,0.094512138,0.397246111,0.844509517
162,276_2,276,276_2018,2018,78.695,134.888,52.765,71.089,67.28,114.849,0.384576224,0.114310876,0.473606847,0.681982729,0.09331635,0.329491353,0.768130796
163,280_o1,280,280_2018,2018,77.82,146.637,56.72,85.279,70.115,133.01,0.269060425,0.129646875,0.418448771,0.741384715,0.105783793,0.27109896,0.759590044
164,280_o2,280,280_2018,2018,75.51,161.789,59.755,113.473,69.05,156.361,0.21312257,0.147952457,0.298648006,0.817991992,0.098414556,0.208682804,0.73704246
