Red,Blue,Green,H,S,V
140.503,80.428,128.422,0.133144777,0.42757259,0.710371711
155.519,96.037,146.668,0.141877746,0.38253106,0.786291383
149.507,86.159,135.555,0.129951372,0.423738294,0.755895201
156.134,92.674,141.315,0.12774958,0.406454798,0.789400773
164.915,98.647,152.423,0.135249178,0.401838455,0.833796793
152.107,83.517,134.413,0.123676191,0.450937249,0.769040589
158.097,88.181,138.976,0.121057124,0.442242671,0.799325541
149.776,101.16,146.485,0.155391065,0.324831399,0.757255243
150.521,93.08,141.655,0.140941969,0.381637483,0.761021903
151.266,101.768,146.451,0.150465165,0.327212416,0.764788562
146.26,95.659,142.916,0.155671639,0.34630325,0.739478634
136.237,88.199,132.133,0.152433084,0.352637178,0.688803163
135.836,82.251,124.949,0.132849125,0.394686677,0.68677574
135.076,79.874,127.873,0.144916142,0.408767129,0.682933242
128.802,74.273,118.954,0.136567223,0.42335471,0.65121241
134.457,78.115,124.717,0.137864993,0.418974239,0.679803628
147.448,79.554,124.625,0.110617272,0.460873459,0.745485065
158.754,91.287,140.246,0.12094944,0.42497267,0.802647279
161.859,106.872,153.007,0.139813142,0.339943057,0.818345906
159.6,106.356,153.922,0.148954982,0.333799556,0.806924586
173.313,112.065,161.501,0.134524131,0.353462192,0.876256396
160.29,126.574,162.242,0.175809246,0.219851874,0.820282323
162.94,102.155,149.863,0.130807184,0.373057667,0.823811354
152.835,90.518,136.289,0.122402004,0.407762736,0.772721298
136.445,71.284,109.654,0.098159125,0.477517155,0.689854794
159.145,90.844,134.982,0.107698805,0.429166934,0.804624143
121.918,64.248,106.986,0.123526093,0.472937983,0.616407467
141.027,86.535,133.45,0.143495484,0.386395189,0.713021013
